,physical_recovery,original_wake_up_time,movement_awakening,original_bed_time,sleep_cycle,efficiency,sleep_score,sleep_duration,start_time,update_time,create_time,time_offset,end_time
84,66,2024-03-03 08:06:00,25,2024-03-03 02:20:00,4,88,71,335,2024-03-03 02:20:00,2024-03-03 08:16:17.150,2024-03-03 08:15:17.525,UTC+0100,2024-03-03 07:55:00
79,81,2024-03-04 07:01:00,20,2024-03-03 23:27:00,4,87,88,437,2024-03-03 23:27:00,2024-03-04 07:26:25.569,2024-03-04 07:26:16.119,UTC+0100,2024-03-04 06:44:00
82,48,,21,,3,90,74,382,2024-03-05 01:42:00,2024-03-05 09:09:58.068,2024-03-05 08:04:35.859,UTC+0100,2024-03-05 08:04:00
83,60,2024-03-06 08:09:00,28,2024-03-05 23:26:00,4,89,78,516,2024-03-05 23:26:00,2024-03-06 08:30:16.962,2024-03-06 08:09:44.225,UTC+0100,2024-03-06 08:02:00
81,69,2024-03-07 07:11:00,26,2024-03-06 23:08:00,4,89,84,471,2024-03-06 23:08:00,2024-03-07 07:18:42.979,2024-03-07 07:11:53.201,UTC+0100,2024-03-07 06:59:00
77,21,2024-03-07 22:21:00,35,2024-03-07 19:34:00,1,82,46,144,2024-03-07 19:34:00,2024-03-07 22:36:51.365,2024-03-07 22:36:45.183,UTC+0100,2024-03-07 21:58:00
80,52,2024-03-08 07:28:00,46,2024-03-07 23:47:00,5,80,77,449,2024-03-07 23:47:00,2024-03-08 07:55:05.749,2024-03-08 07:54:48.165,UTC+0100,2024-03-08 07:16:00
85,90,2024-03-09 06:24:00,8,2024-03-08 21:43:00,5,94,91,486,2024-03-08 21:43:00,2024-03-09 06:57:59.391,2024-03-09 06:54:00.217,UTC+0100,2024-03-09 05:49:00
86,79,2024-03-10 07:18:00,26,2024-03-09 23:44:00,4,84,87,421,2024-03-09 23:44:00,2024-03-10 07:44:51.733,2024-03-10 07:44:43.188,UTC+0100,2024-03-10 06:45:00
87,87,2024-03-11 07:05:00,26,2024-03-10 22:13:00,5,86,85,505,2024-03-10 22:13:00,2024-03-11 07:34:01.665,2024-03-11 07:33:09.158,UTC+0100,2024-03-11 06:38:00
88,72,2024-03-13 05:45:00,10,2024-03-12 22:18:00,5,93,88,415,2024-03-12 22:18:00,2024-03-14 17:00:06.558,2024-03-13 06:15:22.172,UTC-0300,2024-03-13 05:13:00
89,60,2024-03-14 07:30:00,25,2024-03-14 01:27:00,3,91,70,325,2024-03-14 01:27:00,2024-03-14 17:00:06.583,2024-03-14 07:58:19.173,UTC-0300,2024-03-14 06:52:00
90,66,2024-03-15 07:25:00,11,2024-03-14 23:37:00,5,90,89,449,2024-03-14 23:37:00,2024-03-15 07:53:12.754,2024-03-15 07:50:50.182,UTC-0300,2024-03-15 07:06:00
91,58,2024-03-16 06:48:00,9,2024-03-16 00:15:00,4,93,83,366,2024-03-16 00:15:00,2024-03-16 07:00:30.442,2024-03-16 07:00:05.278,UTC-0300,2024-03-16 06:21:00
92,62,2024-03-17 09:00:00,13,2024-03-17 02:36:00,4,92,78,365,2024-03-17 02:36:00,2024-03-17 09:26:05.477,2024-03-17 09:25:58.396,UTC-0300,2024-03-17 08:41:00
93,64,2024-03-18 08:03:00,15,2024-03-18 01:25:00,5,92,78,383,2024-03-18 01:25:00,2024-03-18 08:30:25.830,2024-03-18 08:29:10.558,UTC-0300,2024-03-18 07:48:00
94,57,2024-03-19 06:47:00,26,2024-03-19 00:27:00,3,90,73,366,2024-03-19 00:27:00,2024-03-19 06:48:04.965,2024-03-19 06:47:58.257,UTC-0300,2024-03-19 06:33:00
95,68,2024-03-20 09:38:00,25,2024-03-20 00:18:00,4,87,77,552,2024-03-20 00:18:00,2024-03-20 09:39:08.881,2024-03-20 09:38:56.954,UTC-0300,2024-03-20 09:30:00
96,52,2024-03-21 07:06:00,21,2024-03-20 23:56:00,3,89,78,410,2024-03-20 23:56:00,2024-03-21 07:18:54.371,2024-03-21 07:18:39.729,UTC-0300,2024-03-21 06:46:00
97,81,2024-03-22 07:59:00,10,2024-03-22 00:47:00,5,92,88,411,2024-03-22 00:47:00,2024-03-22 08:26:42.251,2024-03-22 08:25:45.161,UTC-0300,2024-03-22 07:38:00
98,57,2024-03-23 07:09:00,19,2024-03-23 00:03:00,3,91,84,404,2024-03-23 00:03:00,2024-03-23 07:23:30.218,2024-03-23 07:23:19.148,UTC-0300,2024-03-23 06:47:00
99,61,2024-03-24 10:29:00,9,2024-03-24 04:55:00,3,95,77,301,2024-03-24 04:55:00,2024-03-24 10:51:33.719,2024-03-24 10:51:26.188,UTC-0300,2024-03-24 09:56:00
100,88,2024-03-25 08:49:00,32,2024-03-25 00:13:00,3,88,88,495,2024-03-25 00:13:00,2024-03-25 09:15:21.291,2024-03-25 09:14:43.185,UTC-0300,2024-03-25 08:28:00
101,53,2024-03-26 07:08:00,20,2024-03-26 00:58:00,4,91,66,350,2024-03-26 00:58:00,2024-03-26 07:17:42.488,2024-03-26 07:17:35.205,UTC-0300,2024-03-26 06:48:00
102,83,2024-03-27 09:33:00,30,2024-03-26 23:42:00,3,86,81,557,2024-03-26 23:42:00,2024-03-27 09:57:45.107,2024-03-27 09:57:35.179,UTC-0300,2024-03-27 08:59:00
103,62,2024-03-28 09:26:00,20,2024-03-28 01:56:00,3,90,81,426,2024-03-28 01:56:00,2024-03-28 09:54:31.422,2024-03-28 09:54:21.217,UTC-0300,2024-03-28 09:02:00
104,71,2024-03-29 07:54:00,15,2024-03-29 00:59:00,4,89,80,367,2024-03-29 00:59:00,2024-03-29 08:24:58.800,2024-03-29 08:24:40.114,UTC-0300,2024-03-29 07:06:00
105,55,2024-03-30 09:14:00,14,2024-03-30 01:34:00,5,89,79,442,2024-03-30 01:34:00,2024-03-30 09:40:17.945,2024-03-30 09:38:56.285,UTC-0300,2024-03-30 08:56:00
106,62,2024-03-31 08:54:00,34,2024-03-31 01:36:00,3,85,75,408,2024-03-31 01:36:00,2024-03-31 09:21:24.558,2024-03-31 09:20:37.138,UTC-0300,2024-03-31 08:24:00
107,52,2024-04-01 10:00:00,24,2024-04-01 03:10:00,4,89,79,393,2024-04-01 03:10:00,2024-04-01 10:26:58.003,2024-04-01 10:26:46.202,UTC-0300,2024-04-01 09:43:00
108,66,2024-04-02 09:41:00,11,2024-04-02 02:22:00,5,93,89,413,2024-04-02 02:22:00,2024-04-02 10:12:45.146,2024-04-02 10:11:22.116,UTC-0300,2024-04-02 09:15:00
109,71,2024-04-03 08:57:00,19,2024-04-03 01:00:00,5,88,84,453,2024-04-03 01:00:00,2024-04-03 09:22:50.047,2024-04-03 09:22:42.527,UTC-0300,2024-04-03 08:33:00
